Day,Date,Holiday
Friday,January/01/2016,New Years Day
Monday,January/18/2016,Martin Luther King Day
Friday,February/12/2016,Lincoln's Birthday
Monday,February/15/2016,Presidents' Day
Sunday,May/08/2016,Mother's Day
Monday,May/30/2016,Memorial Day
Sunday,June/19/2016,Father's Day
Monday,July/04/2016,Independence Day
Monday,September/05/2016,Labor Day
Monday,October/10/2016,Columbus Day
Friday,November/11/2016,Veterans Day
Thursday,November/24/2016,Thanksgiving
Monday,December/26/2016,Christmas Day
